accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
2017-03-14 17:43:57.172,2533,TCP  ,[IP_ADDRESS],20100,Chrome,28,Female,CA,Normal,English,261.96,No,0,Credit Card
2017-03-14 17:43:57.172,4034,TCP  ,[IP_ADDRESS],20500,Mozilla Firefox,21,Male,AR,Normal,English,731.94,No,0,Debit Card
2017-03-14 17:43:26.135,1525,TCP  ,[IP_ADDRESS],90100,Mozilla Firefox,20,Male,PL,Normal,English,14.62,No,0,Cash
2017-03-14 17:43:26.135,4572,TCP  ,[IP_ADDRESS],100300,Mozilla Firefox,66,Female,IN,Normal,Spanish,957.5775,No,0,Credit Card
2017-03-14 18:17:09.005,3652,TCP  ,[IP_ADDRESS],270200,Mozilla Firefox,53,Female,KR,Normal,Spanish,22.368,No,0,Cash
2017-03-14 18:17:09.005,3847,TCP  ,[IP_ADDRESS],10200,Mozilla Firefox,28,Female,CA,Normal,English,48.86,No,0,Credit Card
2017-03-14 19:46:37.327,2090,TCP  ,[IP_ADDRESS],310900,Mozilla Firefox,49,Female,CN,Normal,English,0,Yes,957.5775,Cash
2017-03-14 19:46:37.327,2793,TCP  ,[IP_ADDRESS],10700,Mozilla Firefox,32,Female,AT,Normal,English,907.152,No,0,Credit Card
2017-03-14 19:02:42.704,3396,TCP  ,[IP_ADDRESS],250200,Mozilla Firefox,69,Male,US,Normal,Spanish,18.504,No,0,Others
2017-03-14 19:02:42.704,2064,TCP  ,[IP_ADDRESS],20600,Mozilla Firefox,60,Female,CA,Normal,Spanish,114.9,No,0,Credit Card
2017-03-14 20:17:17.014,3288,TCP  ,[IP_ADDRESS],520500,Mozilla Firefox,36,Female,SE,Normal,English,1706.184,No,0,Cash
2017-03-14 20:17:17.014,2973,TCP  ,[IP_ADDRESS],30500,Android App,29,Female,CH,Normal,Chinese,911.424,No,0,Credit Card
2017-03-14 17:44:10.042,4464,TCP  ,[IP_ADDRESS],640800,Chrome,67,Female,IN,Normal,Spanish,15.552,No,0,Debit Card
2017-03-14 17:44:10.042,2307,ICMP ,[IP_ADDRESS],90800,Chrome,25,Male,IN,Normal,Spanish,407.976,No,0,Cash
2017-03-14 17:43:39.011,2440,TCP  ,[IP_ADDRESS],330000,Chrome,67,Female,US,Normal,Spanish,68.81,No,0,Credit Card
2017-03-14 17:43:39.011,4716,TCP  ,[IP_ADDRESS],50800,Chrome,24,Male,NO,Normal,English,2.544,No,0,Credit Card
2017-03-15 00:00:10.677,4563,TCP  ,[IP_ADDRESS],46,Chrome,65,Male,IN,Premium,Spanish,665.88,No,0,Debit Card
2017-03-15 00:00:10.677,2380,TCP  ,[IP_ADDRESS],40,Chrome,42,Female,JP,Premium,Spanish,55.5,No,0,Credit Card
2017-03-15 00:00:09.156,4127,TCP  ,[IP_ADDRESS],3093,IOS App,46,Female,PL,Premium,English,8.56,No,0,Cash
2017-03-15 00:00:09.156,3461,TCP  ,[IP_ADDRESS],2843,IOS App,24,Male,GB,Premium,Spanish,213.48,No,0,Others
2017-03-15 00:00:27.441,3050,TCP  ,[IP_ADDRESS],46,IOS App,23,Male,CA,Premium,Spanish,22.72,No,0,Credit Card
2017-03-15 00:00:27.441,2283,TCP  ,[IP_ADDRESS],40,IOS App,27,Female,SE,Premium,Spanish,19.46,No,0,Cash
2017-03-15 00:00:27.659,2203,TCP  ,[IP_ADDRESS],2985,IOS App,52,Male,JP,Premium,English,0,Yes,18.504,Credit Card
2017-03-15 00:00:27.659,2040,TCP  ,[IP_ADDRESS],2843,IOS App,44,Male,CH,Premium,English,71.372,No,0,Cash
2017-03-15 00:00:56.784,2034,TCP  ,[IP_ADDRESS],40,IOS App,42,Female,US,Premium,Spanish,1044.63,No,0,Cash
2017-03-15 00:00:56.784,4125,TCP  ,[IP_ADDRESS],46,Microsoft Edge,51,Male,CA,Premium,Spanish,11.648,No,0,Debit Card
2017-03-15 00:00:02.296,4281,TCP  ,[IP_ADDRESS],420,Microsoft Edge,25,Female,AT,Premium,Spanish,90.57,No,0,Credit Card
2017-03-15 00:00:02.296,4107,TCP  ,[IP_ADDRESS],4773,Microsoft Edge,50,Male,CA,Premium,Spanish,0,Yes,407.976,Cash
